Path	Speed	Setup	First_Delay	First_Event	Second_Delay	Second_Event	Third_Delay	Third_Event
Long	2	S12	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S10	WAIT	GPS_CALIBRATED	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	GPS_NOT_CALIBRATED
Long	2	S3	NOT_WAIT	INTERNET_OFF	WAIT	INTERNET_ON	NOT_WAIT	INTERNET_OFF
Perfect	3	S11	WAIT	INTERNET_ON	NOT_WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL
Small	4	S5	WAIT	GPS_ON	WAIT	GPS_CALIBRATED	WAIT	ORIENTATION_LANDSCAPE
Perfect	3	S3	NOT_WAIT	INTERNET_OFF	WAIT	GPS_CALIBRATED	WAIT	INTERNET_ON
Small	4	S8	WAIT	GPS_OFF	WAIT	GPS_ON	NOT_WAIT	ORIENTATION_PORTRAIT
Small	4	S9	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	NOT_WAIT	INTERNET_ON
Perfect	3	S8	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_NOT_CALIBRATED
Small	4	S3	NOT_WAIT	GPS_CALIBRATED	WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_OFF
Perfect	3	S10	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	WAIT	TAKE_A_PICTURE
Limit	1	S9	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL	NOT_WAIT	ORIENTATION_PORTRAIT
Long	2	S5	WAIT	TAKE_A_PICTURE	NOT_WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON
Perfect	3	S4	WAIT	GPS_CALIBRATED	WAIT	GPS_OFF	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S1	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S7	WAIT	INTERNET_OFF	WAIT	INTERNET_ON	NOT_WAIT	RECEIVE_CALL
Perfect	3	S5	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL	WAIT	RECEIVE_CALL
Long	2	S5	NOT_WAIT	INTERNET_OFF	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Long	2	S1	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	TAKE_A_PICTURE	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	3	S10	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	3	S3	WAIT	GPS_CALIBRATED	WAIT	INTERNET_OFF	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S8	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_NOT_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S6	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE
Perfect	3	S5	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	ORIENTATION_PORTRAIT
Small	4	S7	WAIT	GPS_NOT_CALIBRATED	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Long	2	S2	WAIT	GPS_OFF	NOT_WAIT	GPS_ON	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S5	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Small	4	S1	WAIT	TAKE_A_PICTURE	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	RECEIVE_CALL
Small	4	S12	WAIT	INTERNET_OFF	WAIT	TAKE_A_PICTURE	WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S9	WAIT	INTERNET_ON	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Limit	1	S2	NOT_WAIT	INTERNET_ON	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	2	S10	NOT_WAIT	GPS_OFF	WAIT	GPS_ON	WAIT	RECEIVE_CALL
Small	4	S6	NOT_WAIT	GPS_OFF	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	2	S12	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	RECEIVE_CALL
Limit	1	S7	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Limit	1	S1	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	WAIT	INTERNET_OFF
Long	2	S6	WAIT	GPS_OFF	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_ON
Limit	1	S11	WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_ON
Perfect	3	S2	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	GPS_OFF	WAIT	ORIENTATION_LANDSCAPE
Limit	1	S11	NOT_WAIT	INTERNET_ON	NOT_WAIT	GPS_ON	WAIT	INTERNET_OFF
Small	4	S10	NOT_WAIT	INTERNET_OFF	WAIT	INTERNET_ON	NOT_WAIT	GPS_OFF
Long	2	S11	WAIT	GPS_ON	WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_OFF
Long	2	S11	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S1	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	SIMULATE_LONG_BACKGROUND
Long	2	S2	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED	NOT_WAIT	TAKE_A_PICTURE
Long	2	S3	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL	WAIT	ORIENTATION_LANDSCAPE
Perfect	3	S11	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	INTERNET_ON	WAIT	GPS_ON
Limit	1	S4	WAIT	GPS_CALIBRATED	WAIT	INTERNET_ON	WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S2	WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED
Limit	1	S4	WAIT	GPS_OFF	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_ON
Small	4	S10	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	GPS_OFF	NOT_WAIT	INTERNET_OFF
Limit	1	S1	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	RECEIVE_CALL	NOT_WAIT	GPS_OFF
Long	2	S8	WAIT	INTERNET_ON	NOT_WAIT	INTERNET_OFF	NOT_WAIT	GPS_OFF
Small	4	S8	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	GPS_CALIBRATED	WAIT	RECEIVE_CALL
Small	4	S6	WAIT	INTERNET_ON	WAIT	INTERNET_OFF	WAIT	RECEIVE_CALL
Perfect	3	S6	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S5	NOT_WAIT	GPS_ON	NOT_WAIT	GPS_CALIBRATED	WAIT	GPS_NOT_CALIBRATED
Perfect	3	S4	WAIT	GPS_OFF	NOT_WAIT	GPS_ON	WAIT	INTERNET_ON
Limit	1	S5	NOT_WAIT	GPS_ON	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_CALIBRATED
Perfect	3	S6	WAIT	INTERNET_ON	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	INTERNET_OFF
Small	4	S8	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL	WAIT	TAKE_A_PICTURE
Long	2	S9	WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S4	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	NOT_WAIT	GPS_OFF
Perfect	3	S7	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	INTERNET_OFF
Perfect	3	S4	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_OFF
Perfect	3	S1	WAIT	GPS_OFF	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_ON
Limit	1	S2	WAIT	ORIENTATION_LANDSCAPE	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_PORTRAIT
Long	2	S10	WAIT	TAKE_A_PICTURE	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	ORIENTATION_PORTRAIT
Long	2	S3	WAIT	ORIENTATION_LANDSCAPE	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Limit	1	S10	NOT_WAIT	INTERNET_OFF	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_CALIBRATED
Long	2	S10	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	INTERNET_OFF	WAIT	ORIENTATION_PORTRAIT
Perfect	3	S12	WAIT	GPS_ON	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Limit	1	S8	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Perfect	3	S7	NOT_WAIT	INTERNET_OFF	NOT_WAIT	GPS_OFF	NOT_WAIT	TAKE_A_PICTURE
Small	4	S12	NOT_WAIT	RECEIVE_CALL	WAIT	GPS_ON	WAIT	GPS_CALIBRATED
Small	4	S12	NOT_WAIT	GPS_ON	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	INTERNET_OFF
Perfect	3	S6	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_OFF	NOT_WAIT	INTERNET_ON
Perfect	3	S3	WAIT	GPS_CALIBRATED	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_CALIBRATED
Perfect	3	S7	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	INTERNET_OFF	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S4	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	RECEIVE_CALL
Long	2	S5	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_ON	NOT_WAIT	RECEIVE_CALL
Small	4	S9	WAIT	INTERNET_ON	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Long	2	S11	WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Small	4	S7	WAIT	INTERNET_OFF	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	GPS_NOT_CALIBRATED
Long	2	S1	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Limit	1	S9	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	2	S8	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_PORTRAIT
Small	4	S3	NOT_WAIT	GPS_OFF	WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_ON
Limit	1	S10	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_CALIBRATED
Perfect	3	S8	WAIT	GPS_NOT_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	GPS_CALIBRATED
Limit	1	S10	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S12	NOT_WAIT	GPS_ON	WAIT	GPS_CALIBRATED	WAIT	GPS_NOT_CALIBRATED
Long	2	S2	WAIT	INTERNET_ON	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	2	S4	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S9	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Long	2	S6	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	WAIT	SIMULATE_LONG_BACKGROUND
Long	2	S7	WAIT	GPS_OFF	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	INTERNET_OFF
Limit	1	S2	NOT_WAIT	INTERNET_ON	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_OFF
Limit	1	S2	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Perfect	3	S6	WAIT	TAKE_A_PICTURE	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Long	2	S4	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	GPS_CALIBRATED	WAIT	ORIENTATION_LANDSCAPE
Limit	1	S5	WAIT	TAKE_A_PICTURE	NOT_WAIT	GPS_ON	NOT_WAIT	INTERNET_OFF
Small	4	S2	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL	WAIT	GPS_OFF
Limit	1	S8	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	TAKE_A_PICTURE	WAIT	INTERNET_ON
Perfect	3	S6	NOT_WAIT	GPS_OFF	WAIT	GPS_ON	NOT_WAIT	GPS_OFF
Long	2	S11	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	INTERNET_ON	NOT_WAIT	GPS_ON
Long	2	S12	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL	NOT_WAIT	GPS_ON
Perfect	3	S11	WAIT	GPS_ON	NOT_WAIT	GPS_OFF	NOT_WAIT	TAKE_A_PICTURE
Small	4	S7	NOT_WAIT	INTERNET_OFF	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	ORIENTATION_PORTRAIT
Long	2	S3	WAIT	ORIENTATION_LANDSCAPE	WAIT	TAKE_A_PICTURE	NOT_WAIT	GPS_OFF
Long	2	S11	WAIT	GPS_ON	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S1	WAIT	GPS_NOT_CALIBRATED	WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON
Long	2	S11	NOT_WAIT	GPS_ON	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	INTERNET_ON
Perfect	3	S1	WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON	WAIT	ORIENTATION_LANDSCAPE
Perfect	3	S7	WAIT	GPS_NOT_CALIBRATED	WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_CALIBRATED
Small	4	S3	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	GPS_OFF	NOT_WAIT	TAKE_A_PICTURE
Long	2	S5	NOT_WAIT	GPS_ON	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_OFF
Perfect	3	S10	WAIT	GPS_CALIBRATED	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	2	S2	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_OFF
Limit	1	S9	NOT_WAIT	GPS_OFF	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Long	2	S12	WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON	NOT_WAIT	TAKE_A_PICTURE
Small	4	S8	NOT_WAIT	GPS_OFF	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_ON
Long	2	S5	WAIT	INTERNET_OFF	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_ON
Limit	1	S5	WAIT	ORIENTATION_LANDSCAPE	WAIT	INTERNET_OFF	NOT_WAIT	GPS_ON
Small	4	S2	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	WAIT	GPS_NOT_CALIBRATED
Limit	1	S7	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	INTERNET_OFF	NOT_WAIT	ORIENTATION_LANDSCAPE
Small	4	S9	WAIT	INTERNET_ON	WAIT	INTERNET_OFF	NOT_WAIT	TAKE_A_PICTURE
Long	2	S7	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	NOT_WAIT	GPS_OFF
Perfect	3	S6	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	INTERNET_ON
Limit	1	S1	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED
Long	2	S9	NOT_WAIT	INTERNET_ON	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	INTERNET_OFF
Limit	1	S6	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	INTERNET_ON	NOT_WAIT	TAKE_A_PICTURE
Perfect	3	S8	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Limit	1	S8	WAIT	INTERNET_ON	WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_NOT_CALIBRATED
Perfect	3	S6	NOT_WAIT	GPS_CALIBRATED	WAIT	INTERNET_ON	WAIT	GPS_NOT_CALIBRATED
Long	2	S5	WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S4	WAIT	GPS_CALIBRATED	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	ORIENTATION_LANDSCAPE
Long	2	S3	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Small	4	S12	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_ON	WAIT	INTERNET_OFF
Small	4	S11	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	NOT_WAIT	GPS_ON
Perfect	3	S3	WAIT	GPS_OFF	WAIT	GPS_ON	NOT_WAIT	ORIENTATION_LANDSCAPE
Perfect	3	S11	WAIT	GPS_ON	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	2	S3	WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT	WAIT	SIMULATE_LONG_BACKGROUND
Long	2	S12	WAIT	TAKE_A_PICTURE	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_ON
Limit	1	S2	WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT	WAIT	RECEIVE_CALL
Limit	1	S9	WAIT	GPS_OFF	NOT_WAIT	GPS_ON	NOT_WAIT	GPS_OFF
Perfect	3	S11	NOT_WAIT	INTERNET_ON	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	ORIENTATION_PORTRAIT
Small	4	S1	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	GPS_OFF	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S10	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	TAKE_A_PICTURE	WAIT	ORIENTATION_LANDSCAPE
Limit	1	S5	WAIT	GPS_ON	WAIT	INTERNET_OFF	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S8	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL	WAIT	GPS_NOT_CALIBRATED
Small	4	S11	WAIT	ORIENTATION_PORTRAIT	WAIT	RECEIVE_CALL	WAIT	ORIENTATION_LANDSCAPE
Small	4	S10	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	INTERNET_OFF	WAIT	GPS_OFF
Perfect	3	S10	NOT_WAIT	GPS_OFF	NOT_WAIT	RECEIVE_CALL	WAIT	GPS_ON
Perfect	3	S7	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	NOT_WAIT	INTERNET_OFF
Perfect	3	S6	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	INTERNET_ON
Long	2	S4	NOT_WAIT	GPS_CALIBRATED	WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Limit	1	S2	WAIT	RECEIVE_CALL	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	INTERNET_ON
Long	2	S1	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_OFF	WAIT	GPS_NOT_CALIBRATED
Long	2	S2	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_ON
Perfect	3	S8	WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE	WAIT	RECEIVE_CALL
Small	4	S4	WAIT	RECEIVE_CALL	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	2	S9	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_OFF	NOT_WAIT	RECEIVE_CALL
Perfect	3	S7	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	GPS_OFF
Limit	1	S6	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL	WAIT	GPS_CALIBRATED
Long	2	S2	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_ON
Small	4	S7	WAIT	GPS_OFF	NOT_WAIT	INTERNET_OFF	WAIT	GPS_NOT_CALIBRATED
Small	4	S7	WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED	WAIT	INTERNET_OFF
Small	4	S4	WAIT	GPS_CALIBRATED	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Long	2	S3	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	WAIT	RECEIVE_CALL
Limit	1	S7	WAIT	TAKE_A_PICTURE	WAIT	INTERNET_OFF	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S11	NOT_WAIT	GPS_ON	WAIT	INTERNET_ON	WAIT	RECEIVE_CALL
Long	2	S12	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	WAIT	INTERNET_OFF
Limit	1	S12	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	2	S11	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_ON	WAIT	ORIENTATION_PORTRAIT
Limit	1	S10	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S1	WAIT	INTERNET_OFF	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Perfect	3	S5	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	NOT_WAIT	ORIENTATION_LANDSCAPE
Perfect	3	S4	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	ORIENTATION_LANDSCAPE	WAIT	INTERNET_ON
Small	4	S7	NOT_WAIT	GPS_OFF	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_ON
Limit	1	S8	WAIT	INTERNET_ON	WAIT	GPS_OFF	WAIT	INTERNET_OFF
Long	2	S6	NOT_WAIT	RECEIVE_CALL	WAIT	GPS_CALIBRATED	WAIT	INTERNET_ON
Perfect	3	S12	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE
Long	2	S7	WAIT	GPS_OFF	NOT_WAIT	GPS_ON	WAIT	GPS_NOT_CALIBRATED
Perfect	3	S6	NOT_WAIT	INTERNET_ON	WAIT	RECEIVE_CALL	NOT_WAIT	INTERNET_ON
Long	2	S8	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_LANDSCAPE
Small	4	S10	WAIT	GPS_CALIBRATED	NOT_WAIT	TAKE_A_PICTURE	WAIT	INTERNET_OFF
Limit	1	S11	WAIT	INTERNET_ON	NOT_WAIT	INTERNET_OFF	NOT_WAIT	GPS_ON
Limit	1	S10	NOT_WAIT	GPS_CALIBRATED	WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Limit	1	S2	WAIT	GPS_NOT_CALIBRATED	WAIT	ORIENTATION_LANDSCAPE	WAIT	INTERNET_ON
Limit	1	S1	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	WAIT	INTERNET_OFF
Long	2	S9	NOT_WAIT	GPS_OFF	NOT_WAIT	RECEIVE_CALL	WAIT	GPS_CALIBRATED
Limit	1	S10	WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S5	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	RECEIVE_CALL	NOT_WAIT	INTERNET_OFF
