Path	Speed	Setup	First_Delay	First_event	Second_Delay	Second_Event
Small	5	S11	WAIT	GPS_ON	WAIT	TAKE_A_PICTURE
Small	5	S7	WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL
Small	5	S8	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_OFF
Small	5	S2	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	INTERNET_ON
Small	5	S3	WAIT	RECEIVE_CALL	NOT_WAIT	INTERNET_OFF
Small	5	S10	WAIT	GPS_CALIBRATED	NOT_WAIT	ORIENTATION_PORTRAIT
Small	5	S10	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_CALIBRATED
Small	5	S4	WAIT	INTERNET_ON	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Small	5	S7	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	INTERNET_OFF
Small	5	S11	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Small	5	S11	WAIT	GPS_ON	NOT_WAIT	INTERNET_ON
Small	5	S3	NOT_WAIT	GPS_OFF	NOT_WAIT	INTERNET_OFF
Small	5	S7	NOT_WAIT	TAKE_A_PICTURE	WAIT	SIMULATE_LONG_BACKGROUND
Small	5	S3	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	INTERNET_OFF
Small	5	S2	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Small	5	S4	NOT_WAIT	INTERNET_ON	NOT_WAIT	GPS_CALIBRATED
Small	5	S1	NOT_WAIT	INTERNET_OFF	WAIT	GPS_NOT_CALIBRATED
Small	5	S11	NOT_WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL
Small	5	S7	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_NOT_CALIBRATED
Small	5	S2	WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED
Small	5	S8	WAIT	GPS_OFF	WAIT	GPS_ON
Small	5	S6	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	ORIENTATION_LANDSCAPE
Small	5	S12	NOT_WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON
Small	5	S2	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Small	5	S2	WAIT	GPS_OFF	WAIT	INTERNET_ON
Small	5	S2	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_NOT_CALIBRATED
Small	5	S12	WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE
Small	5	S12	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Small	5	S11	NOT_WAIT	INTERNET_ON	WAIT	GPS_ON
Small	5	S5	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_ON
Small	5	S6	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Small	5	S12	NOT_WAIT	INTERNET_OFF	NOT_WAIT	RECEIVE_CALL
Perfect	80	S7	NOT_WAIT	INTERNET_OFF	WAIT	INTERNET_ON
Perfect	80	S3	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_CALIBRATED
Perfect	80	S9	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	80	S9	NOT_WAIT	GPS_OFF	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	80	S6	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Perfect	80	S10	WAIT	GPS_CALIBRATED	NOT_WAIT	RECEIVE_CALL
Perfect	80	S8	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Perfect	80	S1	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	GPS_OFF
Perfect	80	S2	NOT_WAIT	RECEIVE_CALL	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	80	S5	WAIT	GPS_ON	WAIT	ORIENTATION_LANDSCAPE
Perfect	80	S11	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE
Perfect	80	S5	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	TAKE_A_PICTURE
Perfect	80	S7	WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_OFF
Perfect	80	S7	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Perfect	80	S9	NOT_WAIT	INTERNET_ON	WAIT	INTERNET_OFF
Perfect	80	S9	WAIT	GPS_CALIBRATED	WAIT	GPS_NOT_CALIBRATED
Perfect	80	S12	WAIT	GPS_ON	WAIT	GPS_OFF
Perfect	80	S4	WAIT	GPS_CALIBRATED	WAIT	ORIENTATION_LANDSCAPE
Perfect	80	S8	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	INTERNET_ON
Perfect	80	S12	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	80	S5	WAIT	ORIENTATION_LANDSCAPE	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	80	S8	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE
Perfect	80	S1	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT
Limit	80	S3	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	TAKE_A_PICTURE
Limit	80	S9	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Limit	80	S12	WAIT	GPS_ON	NOT_WAIT	INTERNET_OFF
Limit	80	S9	WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE
Limit	80	S4	NOT_WAIT	GPS_OFF	WAIT	GPS_ON
Limit	80	S1	WAIT	GPS_NOT_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND
Limit	80	S3	WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT
Limit	80	S3	WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL
Limit	80	S2	WAIT	INTERNET_ON	WAIT	RECEIVE_CALL
Limit	80	S8	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	80	S7	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE
Limit	80	S3	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Limit	80	S7	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Limit	80	S5	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_ON
Limit	80	S10	WAIT	GPS_CALIBRATED	WAIT	GPS_NOT_CALIBRATED
Limit	80	S2	WAIT	INTERNET_ON	WAIT	INTERNET_OFF
Limit	80	S1	WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_NOT_CALIBRATED
Limit	80	S5	NOT_WAIT	INTERNET_OFF	WAIT	GPS_ON
Limit	80	S8	NOT_WAIT	INTERNET_ON	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	80	S6	WAIT	GPS_OFF	NOT_WAIT	RECEIVE_CALL
Limit	80	S6	NOT_WAIT	RECEIVE_CALL	WAIT	GPS_OFF
Limit	80	S12	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Limit	80	S12	NOT_WAIT	GPS_ON	WAIT	GPS_CALIBRATED
Limit	80	S1	WAIT	INTERNET_OFF	WAIT	ORIENTATION_LANDSCAPE
Limit	80	S11	WAIT	GPS_ON	NOT_WAIT	GPS_OFF
Limit	80	S8	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	80	S11	NOT_WAIT	GPS_ON	WAIT	ORIENTATION_PORTRAIT
Limit	80	S5	NOT_WAIT	GPS_ON	WAIT	INTERNET_OFF
Limit	80	S8	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	INTERNET_ON
Limit	80	S10	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	TAKE_A_PICTURE
Long	1000	S2	NOT_WAIT	GPS_OFF	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	1000	S9	WAIT	TAKE_A_PICTURE	NOT_WAIT	GPS_OFF
Long	1000	S2	WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT
Long	1000	S3	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	1000	S6	WAIT	GPS_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND
Long	1000	S8	NOT_WAIT	INTERNET_ON	WAIT	TAKE_A_PICTURE
Long	1000	S8	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	RECEIVE_CALL
Long	1000	S3	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	1000	S3	WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON
Long	1000	S1	NOT_WAIT	GPS_OFF	WAIT	GPS_ON
Long	1000	S12	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Long	1000	S10	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	1000	S4	NOT_WAIT	INTERNET_ON	WAIT	INTERNET_OFF
Long	1000	S4	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_OFF
Long	1000	S10	WAIT	INTERNET_OFF	WAIT	GPS_CALIBRATED
Long	1000	S8	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED
Long	1000	S1	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	1000	S5	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	1000	S1	WAIT	INTERNET_OFF	WAIT	INTERNET_ON
Long	1000	S11	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	1000	S5	WAIT	GPS_ON	NOT_WAIT	GPS_OFF
Long	1000	S7	WAIT	RECEIVE_CALL	WAIT	GPS_NOT_CALIBRATED
Long	1000	S1	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	GPS_CALIBRATED
Long	1000	S4	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	1000	S10	WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	1000	S11	WAIT	GPS_ON	NOT_WAIT	GPS_CALIBRATED
Long	1000	S8	WAIT	INTERNET_ON	WAIT	INTERNET_OFF
Long	1000	S4	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	INTERNET_ON
Long	1000	S10	NOT_WAIT	INTERNET_OFF	NOT_WAIT	INTERNET_ON
Long	1000	S7	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_CALIBRATED
Long	1000	S8	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL
Long	1000	S9	WAIT	RECEIVE_CALL	NOT_WAIT	TAKE_A_PICTURE
Long	1000	S6	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	1000	S10	WAIT	INTERNET_OFF	NOT_WAIT	GPS_OFF
Long	1000	S1	NOT_WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL
Long	1000	S11	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	ORIENTATION_PORTRAIT
Long	1000	S1	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Long	1000	S3	WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED
Long	1000	S12	NOT_WAIT	INTERNET_OFF	WAIT	TAKE_A_PICTURE
Long	1000	S8	NOT_WAIT	GPS_OFF	NOT_WAIT	ORIENTATION_PORTRAIT
Long	1000	S2	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	TAKE_A_PICTURE
Long	1000	S4	WAIT	GPS_OFF	WAIT	TAKE_A_PICTURE
Long	1000	S6	WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_NOT_CALIBRATED
Long	1000	S7	NOT_WAIT	INTERNET_OFF	NOT_WAIT	ORIENTATION_PORTRAIT
Long	1000	S12	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	GPS_ON
Long	1000	S3	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Long	1000	S2	WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Long	1000	S10	NOT_WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Long	1000	S9	NOT_WAIT	TAKE_A_PICTURE	WAIT	RECEIVE_CALL
Long	1000	S11	NOT_WAIT	GPS_ON	WAIT	SIMULATE_LONG_BACKGROUND
Long	1000	S10	WAIT	GPS_CALIBRATED	WAIT	TAKE_A_PICTURE
Long	1000	S9	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_CALIBRATED
Long	1000	S5	NOT_WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	1000	S4	WAIT	GPS_CALIBRATED	WAIT	GPS_NOT_CALIBRATED
Long	1000	S2	WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	RECEIVE_CALL
Long	1000	S3	NOT_WAIT	RECEIVE_CALL	WAIT	ORIENTATION_LANDSCAPE
Long	1000	S11	NOT_WAIT	RECEIVE_CALL	WAIT	GPS_ON
Long	1000	S7	WAIT	ORIENTATION_PORTRAIT	WAIT	INTERNET_OFF
Long	1000	S10	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	1000	S4	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	RECEIVE_CALL
Long	1000	S6	WAIT	INTERNET_ON	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	1000	S2	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_ON
Long	1000	S6	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	ORIENTATION_PORTRAIT
Long	1000	S11	NOT_WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	INTERNET_ON
Long	1000	S12	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_ON
